"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CTSG",273.827889909128,-3.91296969456755,0.745887327554404,-5.24606002812421,4.70397193178679e-05,0.00270064249013978
"AKR1C1",6314.65575923953,-4.89503109992028,0.783147376553437,-6.25045967907456,3.28670732061308e-07,4.27200748270693e-05
"AKR1C2",7138.50577063993,-5.42710788122548,0.648696679867922,-8.36617181751333,4.40793932708065e-12,3.80867997556403e-09
"CFD",10647.416866439,-6.16551539472328,0.750207384992135,-8.21841469180942,2.88025845533868e-12,2.61967086140567e-09
"DPP6",84.1924650618496,-5.07286109856332,0.788150405227095,-6.43641247269504,1.18547438463709e-07,1.87946631568014e-05
"DPT",14240.1400023798,-4.69518470392801,0.806577957666698,-5.8211170529758,2.31034805766487e-06,0.000221806248802815
"EPYC",135.935250885001,7.12788601481735,1.25780330439032,5.66693217448048,5.52715373906995e-07,6.70653358673376e-05
"E2F2",387.22756603568,3.91397578895708,0.825465783318806,4.74153607339221,0.000207703554629166,0.00822602500562292
"EBF1",3926.03822905075,-3.78646658334038,0.615973144686802,-6.14712932861003,3.03865168389842e-06,0.000277835660049993
"S1PR1",3850.45374803057,-2.69636799214354,0.452155902041037,-5.96335905375139,8.78083940475763e-05,0.00423859457412337
"EEF1A2",3640.79949303043,5.23682216904674,1.21911936443425,4.29557787516315,0.000255284356827414,0.00952714697352949
"EPAS1",27288.2616505068,-2.6828797596654,0.451776566045917,-5.9385102311675,9.76472848191956e-05,0.00453613636817344
"EPB42",110.708339990474,-8.17236481875266,1.29676933752326,-6.30209597210348,1.59259206899429e-08,3.52840814670389e-06
"FABP4",101855.522947024,-7.31285643726623,1.20518529175031,-6.06782748455687,8.11307060309217e-08,1.34809589511573e-05
"FCN2",72.7101224469256,-5.19481699684164,1.14478617110684,-4.53780551159086,0.000124048975354788,0.00551992244648717
"FGF2",3226.29195655846,-4.23013149147245,0.487600774720094,-8.67539944722348,1.74164009081505e-11,1.07490294319196e-08
"FHL1",46822.3501202284,-5.89254988510209,0.70940610719181,-8.30631400739951,2.66151675087379e-12,2.61967086140567e-09
"FIGF",1224.12644016094,-5.6591970538727,1.02615064120447,-5.51497687243084,2.80661000200473e-06,0.000262167715916993
"FOXM1",2525.68884162458,5.13177568052532,0.94052187460377,5.45630656669977,5.58816657766734e-06,0.000462313094615975
"FMO2",8609.53849817211,-5.27178949401483,0.700654236258814,-7.52409565403311,5.40867121033187e-10,1.8693449437149e-07
"FN1",252120.294593047,3.2476975277304,0.633837145985879,5.12386746074796,0.000195433181485264,0.00785414141685314
"FOLR2",1609.22054267213,-3.82835085028376,0.809543080852218,-4.72902670757632,0.00023813393159681,0.00912495684479979
"GDF10",668.568148696498,-4.62562844935012,1.04089743687714,-4.44388494531006,0.000247784188628767,0.00939026000810027
"GFRA2",166.988573585547,-4.05520753569222,0.670849093496911,-6.04488785183235,2.62876976231726e-06,0.000248239181762867
"GHR",10543.9583382114,-4.28294385259624,0.81656135253775,-5.24509743117954,2.90436235854142e-05,0.00182510130610743
"GJB2",2326.08495167314,6.02620659666878,0.687267282880548,8.76835948222517,1.30309220592026e-13,2.50208182338978e-10
"GPC3",5356.14795883989,-3.7446725695052,0.722196996666483,-5.18511235409433,7.22172114431068e-05,0.00370322145681996
"GLDC",154.519835661862,4.3261538668154,0.876026384408941,4.93838307134353,7.32693880047825e-05,0.00374606004174747
"GNAL",512.314764611759,-3.05615154785632,0.493744876317076,-6.18973825237976,1.56085671808381e-05,0.00107449759067975
"GPD1",33990.4928300953,-8.21069143233907,1.21060262889016,-6.78231753045699,1.29021337597018e-09,3.84416850864495e-07
"GPLD1",245.321454235089,-4.44410613087699,0.638181741450817,-6.96369990274861,3.39297682905009e-08,6.30473468632415e-06
"GPER",459.374641121326,-3.21383151428095,0.623090843253587,-5.15788596330404,0.000190444150181853,0.00770741301942062
"GPX3",36022.7267424404,-4.73009852295486,0.857371551572202,-5.51697629141188,6.78764314326275e-06,0.000543042875734831
"GRIA1",189.330425421561,-5.09138702722164,1.05486643561135,-4.82657031766386,5.25371970203556e-05,0.00292869452164118
"GRIN2D",162.810985013019,3.08688339139888,0.48363987289203,6.38260731676276,7.98183786843886e-06,0.000624136381015801
"GRM4",47.4358219195436,4.58515841459667,0.693018748805582,6.61621121001299,1.15029170490739e-07,1.84057323634301e-05
"GSN",85825.3059216387,-3.20479275533258,0.525631885635102,-6.09702881981816,1.36702869850415e-05,0.000977454320163747
"GYS2",310.01214712176,-9.38279902730894,1.94867242937903,-4.814969866587,8.52042236026355e-06,0.000660275420662397
"HBA2",4687.2998309208,-6.5556608907593,0.775928286947977,-8.44879739665791,4.03330865267334e-13,5.808300568904e-10
"HBB",7422.54459681471,-7.3221883203974,0.751157237263761,-9.7478769519281,1.93787798233293e-17,8.37211735317382e-14
"TLX1",318.593961697891,7.46511793648998,1.39458167785521,5.35294422336805,1.77772164514898e-06,0.000176556366378273
"HSD11B1",927.939277180657,-4.51391016606838,0.917641000867954,-4.91903714175684,6.42586326209279e-05,0.00338552875098249
"IGFBP6",2146.52413050321,-3.51384256541938,0.596415212878696,-5.89160452239178,1.24933227518798e-05,0.000918711108405254
"INHBA",985.39360388551,4.40324418362487,0.671537474402303,6.55695974010079,2.01178150481268e-07,2.91985513792193e-05
"ITGA7",7425.24741101504,-5.07164915112153,0.676463140592796,-7.49730302626269,8.77349075896896e-10,2.75663079646805e-07
"KCNB1",392.491205061332,-5.16800193997027,0.756792168854451,-6.82882586878908,1.82024948056838e-08,3.93196640921278e-06
"KCNG1",366.480093528173,4.75710766334205,0.975187855114649,4.87814490140752,5.84126759313506e-05,0.00320341159751792
"KIF11",1855.93672712907,3.74934671861381,0.791239781256921,4.73857205796427,0.00025568231244352,0.00952714697352949
"LEP",13342.7487133952,-9.18731748140263,1.11490744131015,-8.24043067701334,1.04043437451994e-13,2.24746830325989e-10
"LEPR",3703.20516550399,-3.74194192503028,0.504175629596862,-7.42190162587257,2.68706595382996e-08,5.21743671327366e-06
"LHCGR",28.1338777116633,-7.18922164046181,1.45369003140485,-4.94549834225259,1.03407835990452e-05,0.000783767900767984
"LIFR",8407.54543581591,-2.81793159118019,0.444500425959121,-6.33954756083709,2.15843870319135e-05,0.00141287800113067
"LIPE",22171.3469282574,-6.91481720442779,0.891700718490896,-7.7546390409221,1.64258103615828e-11,1.05131269947597e-08
"MAOA",12054.2436044498,-5.28266433489657,0.810936115974622,-6.51427927654647,6.41924948473646e-08,1.10931050345731e-05
